pathway_id	pathway_name	source	source_version	filled_date_utc
GO:0140431	DNA-(abasic site) binding	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140445	chromosome, telomeric repeat region	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140455	cytoplasm protein quality control	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140490	microtubule nucleator activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140492	metal-dependent deubiquitinase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140496	gamma-tubulin complex binding	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140581	P-type monovalent copper transporter activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140588	chromatin looping	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140618	ferric-chelate reductase (NADH) activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140647	P450-containing electron transport chain	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140658	ATP-dependent chromatin remodeler activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140662	ATP-dependent protein folding chaperone	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140663	ATP-dependent FeS chaperone activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140664	ATP-dependent DNA damage sensor activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140670	cohesin unloader activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140673	transcription elongation-coupled chromatin remodeling	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140693	molecular condensate scaffold activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140750	nucleosome array spacer activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140767	enzyme-substrate adaptor activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140777	protein-containing complex stabilizing activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140818	mRNA 5'-triphosphate monophosphatase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0140825	lactoperoxidase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
