gene_id	gene_name	description
HORVU.MOREX.r3.1HG0001720	NA	NA
HORVU.MOREX.r3.7HG0656220	NA	NA
HORVU.MOREX.r3.2HG0200690	NA	NA
HORVU.MOREX.r3.2HG0181150	NA	NA
HORVU.MOREX.r3.1HG0081920	NA	NA
HORVU.MOREX.r3.4HG0344090	NA	NA
HORVU.MOREX.r3.2HG0117280	NA	NA
HORVU.MOREX.r3.7HG0740540	NA	NA
HORVU.MOREX.r3.5HG0516400	NA	NA
HORVU.MOREX.r3.1HG0003430	NA	NA
HORVU.MOREX.r3.2HG0216270	NA	NA
HORVU.MOREX.r3.7HG0669610	NA	NA
HORVU.MOREX.r3.7HG0734810	NA	NA
HORVU.MOREX.r3.4HG0391100	NA	NA
HORVU.MOREX.r3.5HG0531860	NA	NA
HORVU.MOREX.r3.1HG0049220	NA	NA
HORVU.MOREX.r3.3HG0244060	NA	NA
HORVU.MOREX.r3.5HG0426430	NA	NA
HORVU.MOREX.r3.3HG0229410	NA	NA
HORVU.MOREX.r3.6HG0580020	NA	NA
HORVU.MOREX.r3.4HG0354150	NA	NA
HORVU.MOREX.r3.4HG0409170	NA	NA
HORVU.MOREX.r3.2HG0137070	NA	NA
HORVU.MOREX.r3.1HG0012170	NA	NA
HORVU.MOREX.r3.2HG0211390	NA	NA
HORVU.MOREX.r3.2HG0179540	NA	NA
HORVU.MOREX.r3.6HG0574430	NA	NA
HORVU.MOREX.r3.4HG0403590	NA	NA
HORVU.MOREX.r3.5HG0506090	NA	NA
HORVU.MOREX.r3.1HG0079620	NA	NA
HORVU.MOREX.r3.3HG0262510	NA	NA
HORVU.MOREX.r3.1HG0021400	NA	NA
HORVU.MOREX.r3.6HG0619580	NA	NA
HORVU.MOREX.r3.2HG0106730	NA	NA
HORVU.MOREX.r3.2HG0128310	NA	NA
HORVU.MOREX.r3.7HG0702830	NA	NA
HORVU.MOREX.r3.5HG0509200	NA	NA
HORVU.MOREX.r3.5HG0532450	NA	NA
HORVU.MOREX.r3.7HG0636020	NA	NA
HORVU.MOREX.r3.7HG0739550	NA	NA
HORVU.MOREX.r3.7HG0655330	NA	NA
HORVU.MOREX.r3.2HG0191980	NA	NA
HORVU.MOREX.r3.6HG0628240	NA	NA
HORVU.MOREX.r3.2HG0194130	NA	NA
HORVU.MOREX.r3.7HG0643130	NA	NA
HORVU.MOREX.r3.3HG0328600	NA	NA
HORVU.MOREX.r3.2HG0206410	NA	NA
HORVU.MOREX.r3.4HG0403110	NA	NA
HORVU.MOREX.r3.1HG0011450	NA	NA
HORVU.MOREX.r3.5HG0490960	NA	NA
HORVU.MOREX.r3.1HG0068840	NA	NA
HORVU.MOREX.r3.5HG0530450	NA	NA
HORVU.MOREX.r3.1HG0019870	NA	NA
HORVU.MOREX.r3.4HG0416570	NA	NA
HORVU.MOREX.r3.7HG0640710	NA	NA
HORVU.MOREX.r3.7HG0661680	NA	NA
HORVU.MOREX.r3.5HG0481820	NA	NA
HORVU.MOREX.r3.1HG0053340	NA	NA
HORVU.MOREX.r3.6HG0610220	NA	NA
HORVU.MOREX.r3.2HG0126430	NA	NA
HORVU.MOREX.r3.2HG0179270	rps1	NA
HORVU.MOREX.r3.3HG0277980	NA	NA
HORVU.MOREX.r3.4HG0405960	NA	NA
HORVU.MOREX.r3.5HG0463600	NA	NA
HORVU.MOREX.r3.6HG0568520	NA	NA
HORVU.MOREX.r3.2HG0173060	NA	NA
HORVU.MOREX.r3.4HG0418230	NA	NA
HORVU.MOREX.r3.5HG0469020	RBCS	NA
HORVU.MOREX.r3.2HG0099800	NA	NA
HORVU.MOREX.r3.7HG0711490	NA	NA
HORVU.MOREX.r3.2HG0210640	NA	NA
HORVU.MOREX.r3.6HG0546530	NA	NA
HORVU.MOREX.r3.3HG0240960	NA	NA
HORVU.MOREX.r3.3HG0280090	NA	NA
HORVU.MOREX.r3.5HG0482520	NA	NA
HORVU.MOREX.r3.7HG0636760	NA	NA
HORVU.MOREX.r3.6HG0608820	NA	NA
HORVU.MOREX.r3.1HG0052400	NA	NA
HORVU.MOREX.r3.5HG0476860	NA	NA
HORVU.MOREX.r3.6HG0588370	AP2	NA
HORVU.MOREX.r3.5HG0448420	NA	NA
HORVU.MOREX.r3.5HG0491080	NA	NA
HORVU.MOREX.r3.7HG0752510	NA	NA
HORVU.MOREX.r3.1HG0047060	NA	NA
HORVU.MOREX.r3.5HG0501770	NA	NA
HORVU.MOREX.r3.1HG0093670	NA	NA
HORVU.MOREX.r3.6HG0600920	NA	NA
HORVU.MOREX.r3.3HG0316200	NA	NA
HORVU.MOREX.r3.4HG0351890	NA	NA
HORVU.MOREX.r3.3HG0250560	NA	NA
HORVU.MOREX.r3.7HG0729680	NA	NA
HORVU.MOREX.r3.3HG0256910	NA	NA
HORVU.MOREX.r3.5HG0514190	NA	NA
HORVU.MOREX.r3.7HG0724140	NA	NA
HORVU.MOREX.r3.4HG0341390	NA	NA
HORVU.MOREX.r3.1HG0015170	NA	NA
HORVU.MOREX.r3.4HG0413000	NA	NA
HORVU.MOREX.r3.6HG0603120	NA	NA
HORVU.MOREX.r3.6HG0546900	NA	NA
HORVU.MOREX.r3.6HG0608620	NA	NA
HORVU.MOREX.r3.2HG0096370	NA	NA
HORVU.MOREX.r3.5HG0441930	NA	NA
HORVU.MOREX.r3.3HG0246020	NA	NA
HORVU.MOREX.r3.4HG0370300	NA	NA
HORVU.MOREX.r3.3HG0229310	NA	NA
HORVU.MOREX.r3.7HG0646750	NA	NA
HORVU.MOREX.r3.5HG0526460	NA	NA
HORVU.MOREX.r3.7HG0697110	NA	NA
HORVU.MOREX.r3.1HG0067230	NA	NA
HORVU.MOREX.r3.5HG0478700	NA	NA
HORVU.MOREX.r3.2HG0158890	NA	NA
HORVU.MOREX.r3.1HG0088540	NA	NA
HORVU.MOREX.r3.3HG0219050	NA	NA
HORVU.MOREX.r3.6HG0629490	NA	NA
HORVU.MOREX.r3.5HG0467150	NA	NA
HORVU.MOREX.r3.2HG0151580	NA	NA
HORVU.MOREX.r3.7HG0743200	NA	NA
HORVU.MOREX.r3.7HG0652040	NA	NA
HORVU.MOREX.r3.5HG0447320	NA	NA
HORVU.MOREX.r3.3HG0252670	NA	NA
HORVU.MOREX.r3.3HG0289150	NA	NA
HORVU.MOREX.r3.6HG0556270	NA	NA
HORVU.MOREX.r3.7HG0684570	NA	NA
HORVU.MOREX.r3.4HG0400870	NA	NA
HORVU.MOREX.r3.5HG0527980	NA	NA
HORVU.MOREX.r3.3HG0305510	NA	NA
HORVU.MOREX.r3.3HG0306210	NA	NA
HORVU.MOREX.r3.1HG0059140	NA	NA
HORVU.MOREX.r3.5HG0448550	NA	NA
HORVU.MOREX.r3.5HG0513140	NA	NA
HORVU.MOREX.r3.5HG0459700	NA	NA
HORVU.MOREX.r3.5HG0427370	NA	NA
HORVU.MOREX.r3.1HG0005660	NA	NA
HORVU.MOREX.r3.4HG0413790	NA	NA
HORVU.MOREX.r3.5HG0536260	NA	NA
HORVU.MOREX.r3.7HG0642300	NA	NA
HORVU.MOREX.r3.6HG0574750	NA	NA
HORVU.MOREX.r3.3HG0316080	NA	NA
HORVU.MOREX.r3.4HG0393350	NA	NA
HORVU.MOREX.r3.6HG0592100	NA	NA
HORVU.MOREX.r3.4HG0413640	NA	NA
HORVU.MOREX.r3.5HG0438700	NA	NA
HORVU.MOREX.r3.5HG0463170	NA	NA
HORVU.MOREX.r3.4HG0403700	NA	NA
HORVU.MOREX.r3.5HG0451840	NA	NA
HORVU.MOREX.r3.3HG0286100	NA	NA
HORVU.MOREX.r3.2HG0152910	NA	NA
HORVU.MOREX.r3.UnG0806110	NA	NA
HORVU.MOREX.r3.5HG0495450	NA	NA
HORVU.MOREX.r3.2HG0197830	NA	NA
HORVU.MOREX.r3.2HG0117250	NA	NA
HORVU.MOREX.r3.3HG0233880	NA	NA
HORVU.MOREX.r3.1HG0090910	NA	NA
HORVU.MOREX.r3.2HG0201260	NA	NA
HORVU.MOREX.r3.5HG0492150	NA	NA
HORVU.MOREX.r3.3HG0318260	NA	NA
HORVU.MOREX.r3.5HG0521250	NA	NA
HORVU.MOREX.r3.2HG0096910	NA	NA
HORVU.MOREX.r3.7HG0709010	NA	NA
HORVU.MOREX.r3.1HG0015080	NA	NA
HORVU.MOREX.r3.1HG0064750	NA	NA
HORVU.MOREX.r3.2HG0183730	NA	NA
HORVU.MOREX.r3.3HG0249400	NA	NA
HORVU.MOREX.r3.7HG0707460	NA	NA
